uid,total_facebook_statuses,account_membership_period,service_support_calls,number_of_snaps,total_whatsapp_charge,sub_country_code,total_twitter_tweets,country,total_email_characters,email_plan,total_whatsapp_msg_characters,social_account_number,total_whatsapp_msgs,total_facebook_charge,total_twitter_charge,snapchat_plan,total_email_charge,total_twitter_tweet_characters,total_emails,total_facebook_status_characters,turn_anti_social
0,84,141,0,37,14.69,415,111,WV,11.2,yes,326.4,330-8173,97,43.96,18.87,yes,3.02,222,5,258.6,0
1,99,108,2,30,,510,113,LA,9.8,no,177.9,380-7624,95,47.02,18.71,yes,2.65,220.1,6,276.6,0
2,111,96,1,0,9.22,415,105,MA,9.1,no,204.8,359-9369,91,29.56,24.43,no,2.46,287.4,7,173.9,0
3,100,105,0,0,11.04,415,108,NV,7.7,yes,245.3,376-4540,140,38.83,12.33,no,2.08,145.1,7,228.4,0
4,92,59,1,0,5.15,510,88,CO,12.5,no,114.5,331-3842,89,26.11,17.47,no,3.38,205.5,10,153.6,0
5,97,174,1,0,7.5,408,94,ID,11.4,no,166.6,359-5893,54,32.66,14.44,no,3.08,169.9,4,192.1,0
6,54,31,0,31,11.48,415,97,CT,5.9,no,255,390-9359,131,17.02,20.94,yes,1.59,,3,100.1,0
7,100,132,0,0,10.1,408,95,MT,6.7,no,224.5,406-8465,117,33.17,12.65,no,1.81,148.8,2,195.1,0
8,104,103,0,0,14.06,510,70,CT,,no,312.5,377-9178,97,27.23,11.81,no,2.62,,2,160.2,0
9,66,101,0,0,8.69,415,85,IL,,no,193.2,342-8702,115,21.22,21.86,no,3.62,257.2,4,124.8,0
10,99,92,2,16,,510,134,WV,,no,185.1,335-7257,96,31.28,6.49,yes,3.43,76.4,3,184,0
11,72,150,2,35,9.62,415,170,NY,8.8,no,213.8,421-6268,105,23.73,28.29,yes,2.38,332.8,2,139.6,0
12,120,148,1,0,13.98,408,99,NY,11.2,no,310.7,407-7464,105,35.43,14.82,no,3.02,174.4,4,208.4,0
13,87,183,0,0,7.95,510,116,IL,13.5,no,176.6,399-1750,109,18.41,15.61,no,3.65,183.6,2,108.3,0
14,108,43,1,0,8.13,415,80,WV,11.3,no,180.6,348-5767,103,33.98,24.51,no,3.05,288.4,7,199.9,0
15,113,72,2,0,7.57,408,112,WI,9.8,no,168.2,383-9448,79,30.58,12.73,no,2.65,149.8,7,179.9,0
16,129,98,1,0,,408,113,OH,12.5,no,172.3,368-1288,94,28.05,17.22,no,3.38,202.6,7,165,1
17,116,98,5,0,5.27,415,103,AR,,no,117,328-7833,102,38.61,10.24,no,1.27,120.5,4,227.1,1
18,83,116,2,34,7.48,415,142,CA,11.6,no,166.3,405-3371,106,45.66,15.15,yes,3.13,,3,268.6,0
19,80,127,1,23,,415,85,ND,9.8,no,156.9,399-1021,82,30.94,18.37,yes,2.65,216.1,4,182,0
20,107,153,1,0,6.43,510,96,VA,,no,142.8,394-9121,97,33.22,13.14,no,3.13,154.6,6,,0
21,125,103,3,0,9.93,510,113,SD,12.2,no,220.6,412-7278,95,35.11,15.32,no,3.29,180.2,4,206.5,0
22,88,121,3,24,9.57,510,108,MA,7.5,no,212.6,355-9993,118,37.09,29.62,yes,2.03,348.5,7,218.2,0
23,112,86,1,0,10.26,415,81,IN,,no,228.1,365-5039,97,28.25,21.7,no,1.46,255.3,7,166.2,0
24,73,54,3,0,4.59,408,100,MT,14.7,no,102.1,418-6412,68,22.83,13.22,no,3.97,155.5,4,134.3,0
25,152,100,2,0,,415,115,AZ,15.2,no,179.8,333-2337,88,32.05,12.61,no,4.1,148.3,5,188.5,0
26,106,83,0,0,10.11,510,116,RI,10.2,no,224.7,357-2294,92,44.15,12.98,no,2.75,152.7,2,259.7,0
27,95,117,2,0,9.18,415,88,AK,14.7,no,204,337-8078,82,30.86,17.43,no,3.97,205.1,9,181.5,0
28,83,147,3,0,9.21,415,144,MI,15.6,no,204.6,382-4943,72,22.2,17.69,no,4.21,208.1,3,130.6,0
29,117,160,1,0,7.22,408,129,OK,,no,160.4,350-4820,121,28.29,26.95,no,2.7,317,2,166.4,0
30,102,100,1,0,6.04,415,97,WV,10.9,no,134.3,381-3735,93,28.22,20.07,no,2.94,236.1,4,166,0
31,97,50,2,35,9.73,415,101,MI,7.9,no,216.2,361-3779,101,32.74,11.49,yes,2.13,135.2,2,192.6,0
32,111,141,0,0,,415,87,NV,11,no,175.8,347-1814,82,32.71,13.34,no,2.97,156.9,6,192.4,0
33,86,96,1,18,11.68,510,113,WI,9.8,no,259.5,343-2605,70,29.36,11.34,yes,2.65,133.4,3,172.7,0
34,89,124,1,0,9.27,408,80,CA,11.3,yes,206,343-6374,114,41.58,16.05,no,3.05,188.8,4,244.6,0
35,98,100,1,0,7.03,510,122,CT,9.7,yes,156.2,416-1536,117,18.22,7.38,no,2.62,86.8,4,107.2,0
36,97,119,1,26,6.41,415,110,WA,6.6,no,142.4,380-6631,92,27.42,21.28,yes,1.78,250.3,8,161.3,0
37,68,1,1,26,7.82,415,67,SC,10,no,173.8,356-8621,113,24.92,14.69,yes,2.7,172.8,2,146.6,0
38,70,119,1,0,,510,74,MT,11.3,no,188.5,374-5301,105,22.93,17.98,no,3.05,211.5,6,134.9,0
39,123,19,1,0,9.93,415,110,ME,12.9,no,220.6,404-5597,98,34.26,10.98,no,3.48,129.2,4,201.5,0
40,101,107,1,0,11.22,415,111,NM,12.1,no,249.4,407-2259,117,37.79,24.31,no,3.27,286,4,222.3,1
41,88,104,0,0,,510,85,ID,12.4,no,261.6,403-6565,105,16.52,13.23,no,3.35,155.6,5,97.2,0
42,102,138,0,37,7.32,415,147,AK,8.2,no,162.6,340-3409,96,12.89,14.76,yes,2.21,,13,75.8,0
43,96,95,2,0,7.79,510,61,VT,13.7,no,173,395-6369,105,34.58,14.33,no,3.7,168.6,3,203.4,0
44,104,108,0,0,6.3,415,92,IN,15.2,no,140.1,392-2268,57,33.88,19.06,no,4.1,224.2,2,199.3,0
45,88,132,1,0,8.81,510,124,MN,,no,195.7,406-4720,120,20.66,21.51,no,2.89,253,4,121.5,0
46,96,90,1,0,6.23,415,104,NM,13,no,138.4,347-6164,87,28.48,11.82,no,3.51,139.1,1,167.5,0
47,70,121,1,0,5.23,415,93,SD,,no,116.3,392-2459,113,30.5,12.16,no,3.02,143,5,179.4,0
48,90,87,1,0,6.93,415,99,LA,11.8,no,154.1,392-2887,90,38.88,13.86,no,3.19,163,3,228.7,0
49,120,161,2,0,10.01,415,120,NV,11.8,no,222.5,414-6426,91,12.38,22.7,no,3.19,267.1,2,72.8,0
50,95,137,2,0,10.04,415,102,NV,12.3,yes,223.1,338-1027,81,22.97,11.4,no,3.32,134.1,2,135.1,1
51,92,80,4,31,6.78,408,74,ME,,no,150.7,332-9525,84,28.29,20.26,yes,2.89,238.3,4,166.4,0
52,93,78,2,13,10.99,415,101,MS,6.4,no,244.2,410-5236,129,47.8,15.15,yes,1.73,178.2,5,281.2,0
53,127,144,0,35,11.51,510,93,CT,12.8,yes,255.8,416-9021,90,29.72,18.67,yes,3.46,219.6,3,174.8,0
54,93,190,0,22,5.44,415,92,UT,8.5,no,121,398-9870,102,28.31,15.56,yes,2.3,183,3,166.5,0
55,142,225,1,0,9.81,415,63,WY,8.8,no,218,374-1213,103,31.06,20.95,no,2.38,246.5,2,182.7,0
56,94,47,1,28,5.11,408,108,AL,7.8,no,113.5,404-5387,84,24.02,14.28,yes,2.11,168,2,141.3,0
57,113,125,2,0,9.28,415,131,VT,,no,206.2,372-4722,112,21.54,13.22,no,3.89,155.5,7,126.7,0
58,97,186,1,0,6.59,510,118,KS,,no,146.4,400-6454,85,23.43,15.95,no,2.35,187.7,6,137.8,0
59,93,181,1,27,9.71,415,127,AL,10.6,no,215.7,330-9294,82,32.35,21.17,yes,2.86,,4,190.3,0
60,121,93,0,0,7.45,415,131,GA,12,no,165.5,371-2155,125,30.52,16.31,no,3.24,191.9,4,179.5,0
61,106,1,5,0,6.85,415,106,TX,,no,152.3,396-4254,75,30.96,11.47,no,2.7,134.9,3,,1
62,40,67,1,20,,510,58,UT,9.4,no,162.2,414-9027,115,39.2,16.07,yes,2.54,189.1,2,230.6,0
63,101,60,2,0,10.93,408,115,NJ,11.7,no,242.8,335-2967,76,49.27,21.73,no,3.16,255.6,4,289.8,1
64,68,57,1,0,10.6,510,86,AR,12.7,no,235.5,393-3507,105,32.78,13.43,no,3.43,158,6,,0
65,95,85,1,0,6.67,415,139,WI,10.7,no,148.2,360-4320,105,17.34,22.97,no,2.89,270.2,3,102,0
66,73,72,0,0,9.49,415,78,MT,9.8,no,210.8,398-8385,89,43.01,18.64,no,2.65,219.3,4,,0
67,98,174,2,0,9.93,415,70,ME,7.2,no,220.6,397-2870,97,32.35,21.48,no,1.94,252.7,9,190.3,0
68,101,119,0,32,10.4,415,93,ID,12.2,yes,231.1,338-9952,91,29.41,17.8,yes,3.29,209.4,4,173,0
69,87,77,2,0,13.93,408,138,MS,11.3,no,309.6,356-4001,136,39.1,8.77,no,3.05,103.2,3,230,0
70,81,78,2,0,7.81,510,82,NY,5.3,no,173.6,362-2353,112,25.99,21.81,no,1.43,256.6,6,152.9,0
71,81,102,3,0,6.65,510,90,MS,12,yes,147.8,329-9689,66,38.11,20.68,no,3.24,243.3,8,224.2,0
72,88,78,0,0,11.79,408,93,SD,8.6,no,262.1,394-3171,108,27.81,24.09,no,2.32,283.4,9,,0
73,110,106,3,0,5.76,415,69,AL,6.3,no,128.1,349-3732,71,36.19,15.9,no,1.7,187,3,212.9,0
74,105,57,1,30,10.26,415,83,IL,14.7,no,228.1,403-6237,77,30.46,24.07,yes,3.97,,5,179.2,0
75,92,104,2,0,10.65,408,87,SD,,no,236.6,406-2678,65,34.03,10.09,no,1.62,118.7,6,200.2,0
76,94,128,0,0,8.59,415,92,MI,7.9,no,191,422-3052,88,30.5,22.98,no,2.13,,4,179.4,0
77,88,192,2,0,9.56,415,98,CO,11.4,no,212.4,401-6392,105,31.45,19.12,no,3.08,224.9,3,,0
78,118,101,3,0,8.34,415,128,ND,0,no,185.3,395-1380,128,37.01,19.69,no,0,231.7,0,217.7,0
